id,timestamp,Hum,Temp,N,P,K,pH,EC,OC_est,Label_KMeans
6,2026-05-13 12:26:16.378126,96.7,32.6,40,138,131,5.4,376,0.617524,Subur
7,2026-05-13 12:27:18.586023,97.2,32.5,39,137,130,5.5,374,0.61387,Subur
8,2026-05-13 12:28:20.652853,96.7,32.5,39,137,130,5.6,374,0.610557,Subur
9,2026-05-13 12:29:22.916488,96.7,32.5,39,136,129,5.6,372,0.610557,Subur
10,2026-05-13 12:30:24.841741,97.2,32.4,38,136,129,5.7,371,0.606902,Subur
11,2026-05-13 19:31:26.881682,97.2,32.4,38,135,128,5.7,370,0.606902,Subur
12,2026-05-13 19:32:28.854293,97.2,32.4,38,135,128,5.7,369,0.606902,Subur
13,2026-05-13 19:33:30.968369,97.2,32.3,38,134,127,5.8,368,0.603589,Subur
14,2026-05-13 19:34:32.861509,96.3,32.3,38,134,127,5.8,367,0.603589,Subur
15,2026-05-13 19:35:34.973554,96.7,32.3,38,134,127,5.9,367,0.600275,Subur
16,2026-05-13 19:36:37.043642,96.7,32.3,37,133,126,5.9,366,0.599935,Subur
17,2026-05-13 19:37:39.101403,96.7,32.2,37,133,126,5.9,365,0.599935,Subur
18,2026-05-13 19:38:41.205954,96.7,32.2,37,133,126,5.9,365,0.599935,Subur
19,2026-05-13 19:39:43.369966,96.7,32.2,37,132,125,6.0,364,0.596621,Subur
20,2026-05-13 19:40:45.402925,96.7,32.2,37,132,125,6.0,363,0.596621,Subur
21,2026-05-13 19:41:47.77756,96.7,32.1,37,131,124,6.0,362,0.596621,Subur
22,2026-05-13 19:42:49.795986,96.7,32.1,37,131,124,6.0,362,0.596621,Subur
23,2026-05-13 19:43:51.965409,96.7,32.1,37,131,124,6.1,362,0.593308,Subur
24,2026-05-13 19:44:53.94556,97.2,32.1,37,131,124,6.1,362,0.593308,Subur
25,2026-05-13 19:45:56.079195,96.3,32.1,36,131,124,6.1,361,0.592967,Subur
26,2026-05-13 19:46:58.165277,97.2,32.1,36,130,123,6.1,360,0.592967,Subur
27,2026-05-13 19:48:00.433497,96.7,32.1,36,130,123,6.1,360,0.592967,Subur
28,2026-05-13 19:49:02.378948,96.7,32.1,36,130,123,6.1,360,0.592967,Subur
29,2026-05-13 19:50:04.496354,96.7,32.0,36,130,123,6.2,359,0.589653,Subur
30,2026-05-13 19:51:06.391345,96.7,32.0,36,129,122,6.2,358,0.589653,Subur
31,2026-05-13 19:52:08.807403,96.7,32.0,36,129,122,5.8,358,0.602908,Subur
32,2026-05-13 19:53:10.78178,96.3,32.0,36,129,122,5.9,358,0.599594,Subur
33,2026-05-13 19:54:13.074901,96.3,32.0,36,129,122,6.0,358,0.596281,Subur
34,2026-05-13 19:55:15.023015,97.2,32.0,36,129,122,6.1,357,0.592967,Subur
35,2026-05-13 19:56:17.134148,96.7,32.0,36,129,122,6.1,357,0.592967,Subur
